Name & Organization,Attachments,Document Title,Description,Technical Area,Indicator,Document Type,Author,Publication Date,WHO-Approved Doc: Check here if this document peer reviewed or from the WHO or CDC,Status,Relevant Pages,Lead Approval Req: Check here if this document requires approval from another lead agency,Thumbnail Image
Dawn Mapatano ,table_of_contents_overview.pdf (https://dl.airtable.com/.attachments/16f31104decc741dc7cbfdae1db528a2/a8e66fa0/table_of_contents_overview.pdf),Laboratory Quality Management System Training Toolkit,Laboratory quality management system training toolkit: overview and tips for training design ,National Laboratory System,7.4 Develop expertise by training selected laboratory staff in the inspection of laboratories based on the standards.,Training Package,World Health Organization,2009,checked,,1-34,checked,
Mike Mahar - US CDC,8_1_2_4b An_efficient_and_Practical_approach_to_Biosecurity.pdf (https://dl.airtable.com/.attachments/53ca25b852b0ab310fdd47353c830075/b149464a/8_1_2_4bAn_efficient_and_Practical_approach_to_Biosecurity.pdf),An Efficient and Practical Approach to Biosecurity,Book detailing important steps for instituting a biosecurity system and legislation. The book builds from Denmark's process and lessons learned implementing a comprehensive biosecurity law and system.,Biosafety and Biosecurity,"""8.1 Conduct assessments of current biosafety and biosecurity practices, procedures and engineering controls at the national
level.""",Manual,Denmark Centre for Biosecurity and Biopreparedness,2015,,,29-36,checked,8_1_2_4b An_efficient_and_Practical_approach_to_Biosecurity.png (https://dl.airtable.com/.attachments/5f2836076b16e6e6beaf2a0d7eca587c/b79acee8/8_1_2_4bAn_efficient_and_Practical_approach_to_Biosecurity.png)
Mike Mahar - US CDC,8_1_2_4c Questionnaire_-_Biosecurity_Gap_Analysis.pdf (https://dl.airtable.com/.attachments/00ae429438b4d74aeae972ca6d10260d/5946da00/8_1_2_4cQuestionnaire_-_Biosecurity_Gap_Analysis.pdf),Questionnaire: Biosecurity Gap Analysis--Facility Level,Example of a questionnaire for use in conducting a facility level biosecurity gaps assessment.,Biosafety and Biosecurity,"""8.1 Conduct assessments of current biosafety and biosecurity practices, procedures and engineering controls at the national
level.""",Example,Centre for Biosecurity and Biopreparedness,2015,,,1-3,checked,8_1_2_4c Questionnaire_-_Biosecurity_Gap_Analysis.png (https://dl.airtable.com/.attachments/341b2b6c728a462c5b3348a9bf3b4574/c97871ed/8_1_2_4cQuestionnaire_-_Biosecurity_Gap_Analysis.png)
Michael Mahar,ENG-Facilitator-Guide-IDSR-Training.pdf (https://dl.airtable.com/.attachments/78c33b468c1a8d781a3b4f28981e10c5/76527d1e/ENG-Facilitator-Guide-IDSR-Training.pdf),Integrated Disease Surveillance and Response: District Level Training Course Facilitator Guide,Facilitator guide for training materials for national and sub-national surveillance and response training.,Surveillance,"9.1 Develop training materials for disease surveillance for national and subnational levels.,""9.1 Train surveillance staff at all levels on monitoring and evaluating events, and develop and implement a clear follow-up of the
process at national, intermediate and local levels."",9.3 Conduct training on data analysis at national and intermediate levels.",Training Package,World Health Organization,2011,checked,,"Module 3, Module 7, All",,ENG-Facilitator-Guide-IDSR-Training.png (https://dl.airtable.com/.attachments/d6ebfdd2abaf8f21ef6cfe4ddd98d0d3/b42de7e1/ENG-Facilitator-Guide-IDSR-Training.png)
Paul Cox,PHEOC Policy plans and procedures-eng.pdf (https://dl.airtable.com/.attachments/4a56bcb74fb8354d5ee2a5f79c750e2a/fcb8daa2/PHEOCPolicyplansandprocedures-eng.pdf),"Handbook for Developing a Public Health
Emergency Operations Centre
Part A: Policies, Plans and Procedures",Guidance for developing PHEOC Policy plans and procedures,Emergency Preparedness,"""1.1 Assess current relevant legislation, laws, regulations, policy and administrative requirements for IHR implementation and identify gaps, including reporting, prevention and control.""",Guideline,World Health Organization,2019,checked,,All,,PHEOC Policy plans and procedures-eng.png (https://dl.airtable.com/.attachments/b82179ba020b084d95be647142b46004/e1bdf8ec/PHEOCPolicyplansandprocedures-eng.png)
Paul Cox,PHEOC Train and exercise-eng.pdf (https://dl.airtable.com/.attachments/4159157ca2f7791d3a929cdf130b6dc3/677aeea3/PHEOCTrainandexercise-eng.pdf),"Handbook for Developing a Public Health
Emergency Operations Centre
Part C: Training and Exercises
",Training and exercising of PHEOCs,Emergency Preparedness,2.1 Conduct training for NFPs.,Guideline,World Health Organization,2019,checked,,All,,PHEOC Train and exercise-eng.png (https://dl.airtable.com/.attachments/c5e192fa03854bfde193df44e624285b/f0932a9f/PHEOCTrainandexercise-eng.png)
Paul Cox,PHEOC FRAMEWORK2015_eng.pdf (https://dl.airtable.com/.attachments/74451ad994f48496f42a65ae7e4389e6/31219147/PHEOCFRAMEWORK2015_eng.pdf),"Framework for a Public
Health Emergency Operations Centre","Guidance for developing, exercising and managing a Public Health Emergency Operations Centre ",Emergency Response Operations,"""2.2 Conduct regular multisectoral coordination meetings and ensure that the outcomes of these meetings are disseminated to
the external and internal audience, well documented and acted upon.""",Tool,World Health Organization,2015,checked,,All,,PHEOC FRAMEWORK2015_eng.png (https://dl.airtable.com/.attachments/c5cb5475ceaa0a9ddc9cb2fd8edd7521/dda7a681/PHEOCFRAMEWORK2015_eng.png)
Zhanat CARR,2015-11 - GSR Part 7 - final P_1708_web.pdf (https://dl.airtable.com/.attachments/6105ac21ea9fc157ba67b260aabca920/a3cd8f4a/2015-11-GSRPart7-finalP_1708_web.pdf),"Preparedness and Response
for a Nuclear or
Radiological Emergency","This document is from the IAEA's international safety standard series, co-sponsored by WHO and several other IOs.
It provides high-level guidance on the requirements for preparedness and response to radiological and nuclear emergencies.",Radiation Emergencies,"""18.1 Sustain a mechanism to ensure response capacity at national, subnational and local levels.""",Guideline,International Atomic Energy Association,2015,checked,,All,,2015-11 - GSR Part 7 - final P_1708_web.png (https://dl.airtable.com/.attachments/b2168d6156f45be5f24e4cdc37eb6f4b/34f71d1f/2015-11-GSRPart7-finalP_1708_web.png)
Zhanat CARR,GSG.2 - 2011 Criteria Pub1467_web.pdf (https://dl.airtable.com/.attachments/616cca69754ff70a86f5ad3157f7e58f/54dcc52b/GSG.2-2011CriteriaPub1467_web.pdf),"Criteria for Use in
Preparedness and
Response for a Nuclear or
Radiological Emergency","This Safety Guide presents a coherent set of generic criteria (expressed numerically in terms of radiation dose) that form a basis for developing the operational levels needed for decision making concerning protective and response actions. The set of generic criteria addresses the requirements established in IAEA Safety Standards Series No. GS-R-2 for emergency preparedness and response, including lessons learned from responses to past emergencies, and provides an internally consistent foundation for the application of principles of radiation protection. The publication also provides a basis for a plain language explanation of the criteria for the public and for public officials.",Radiation Emergencies,"11.2 Develop or update national multisectoral multihazard emergency response plans.,""11.2 Implement emergency preparedness measures at national, subnational and local levels by human health, animal health and
other relevant sectors, including at points of entry and mass gathering events."",""18.1 Develop a radiation monitoring mechanism with required SOPs and guidelines, and establish a mechanism to share
information among the relevant stakeholders.""",Guideline,International Atomic Energy Association,2011,checked,,All,,GSG_2 - 2011 Criteria Pub1467_web.png (https://dl.airtable.com/.attachments/7d7a9bc73507264c1ef31eb4633cfe34/2958bd15/GSG_2-2011CriteriaPub1467_web.png)
Zhanat Carr,2017 ITB guideline-web.pdf (https://dl.airtable.com/.attachments/e32d55f8acac732c9c4e17f3260c2477/fea976f9/2017ITBguideline-web.pdf),"Iodine Thyroid Blocking: Guidelines for use in planning for and responding
to radiological and nuclear emergencies",Iodine thyroid blocking: guidelines for use in planning for and responding to radiological and nuclear emergencies,Radiation Emergencies,18.1 Document and disseminate best practices of test results and reviews.,Guideline,World Health Organization,2017,checked,,All,,2017 ITB guideline-web.png (https://dl.airtable.com/.attachments/b305589f06837a82f58468ea2b853ee1/11456c54/2017ITBguideline-web.png)
Zhanat CARR,GSG-2.1 Arrangements.pdf (https://dl.airtable.com/.attachments/def11d0f007eaff9b77241e185c8c3b9/1fc36ea6/GSG-2.1Arrangements.pdf),"Arrangements for
Preparedness for a
Nuclear or Radiological
Emergency","IAEA - GS-G-2.1
Under the Convention on Assistance in the Case of a Nuclear Accident or Radiological Emergency, one function of the IAEA is to collect and disseminate to States Parties and Member States information concerning methodologies, techniques and research data relating to emergency response. The primary objectives of this Safety Guide, co-sponsored by FAO, OCHA, ILO, PAHO and WHO, are to provide guidance on preparedness for and response to a nuclear or radiological emergency, to describe appropriate responses to a range of emergencies, and to provide background information on past experience, thereby helping the user to better implement arrangements that address the underlying issues.",Radiation Emergencies,"""1.1 Develop an orientation package to implement the legislation, laws, regulations, policy and administrative requirements."",""18.1 Respond to any radiological threats with joint risk assessment, investigation and implementation of the response plan."",""18.1 Sustain a mechanism to ensure response capacity at national, subnational and local levels.""",Guideline,International Atomic Energy Association,2007,,,All,,GSG-2_1 Arrangements.png (https://dl.airtable.com/.attachments/9eedeb60ea7eab2d2e4356b3345fab26/6f952a8a/GSG-2_1Arrangements.png)
Zhanat CARR,2019 REMPAN directory_final-full.pdf (https://dl.airtable.com/.attachments/a8383c5a2456be9d781b9ba4d2df23da/a1af41cb/2019REMPANdirectory_final-full.pdf),Radiation Emergency Medical Preparedness and Assistance Network Directory,The directory of the members of WHO REMPAN - Radiation Emergency Medical Preparedness and Response Network ,Radiation Emergencies,"""17.1 Establish links with key international chemical/toxicology networks51 for support in the management of chemical events and
poisonings."",""18.1 Designate or secure access to laboratory capacity to monitor, identify and assess exposure."",18.1 Identify health facilities that can manage patients in the event of a radiation emergency.",Tool,World Health Organization,2019,checked,,All,,2019 REMPAN directory_final-full.png (https://dl.airtable.com/.attachments/ec1bc2d28f9e5f03aa295347a32a628f/84b9d94d/2019REMPANdirectory_final-full.png)
"Hani Mahmoud, RTSL",17-0803.pdf (https://dl.airtable.com/.attachments/c0df988651669397f0e16b5bd08bd5be/1653d95a/17-0803.pdf),Frontline Field Epidemiology Training Programs as a Strategy to Improve Disease Surveillance and Response,This article describes the process and early results on the implementation of FETP-Frontline - a 3-month field training program targeting local Ministry of Health staff in over 20 countries to augment local public health capacity.,Human Resources,"""10.4 Evaluate existing field or applied epidemiology programmes in the regional context and identify the host country where
national public health professionals can be sent for training.""",Example,"André AM, Lopez A, Perkins S, et al.",2017,checked,,All,checked,17-0803.png (https://dl.airtable.com/.attachments/895440c169837c477bfa54ccc1ed27c7/c94fcc03/17-0803.png)
"Hani Mahmoud, RTSL",Population_Health_Competencies_2019Mar.pdf (https://dl.airtable.com/.attachments/b31506e151071853323a36d66531ec3b/776a9dee/Population_Health_Competencies_2019Mar.pdf),Competencies for Population Health Professionals.,"This report outlines a set of skills desirable for professionals that work in hospital, health system, public health, healthcare systems who are engaged in the assessment of population health needs and the development, delivery, and improvement of population health programs, services, and practices.",Human Resources,10.3 Identify and address training needs for various professions/cadres.,Guideline,Association for Community Health Improvement (ACHI),2019,,,All,checked,Population_Health_Competencies_2019Mar.png (https://dl.airtable.com/.attachments/53c824ae058c1bc63f453c2ffd7ef161/cedf25fe/Population_Health_Competencies_2019Mar.png)
"Hani Mahmoud, RTSL",BLT_13_118737.pdf (https://dl.airtable.com/.attachments/4e2696b372f01161943a8b805eae30d1/d815b0e8/BLT_13_118737.pdf),Leveraging information technology to bridge the health workforce gap,This article discusses how new information and communication technologies can help to overcome healthcare workforce development challenges.,Human Resources,"""10.3 Expand current public health and field epidemiology training programmes to include: refresher courses; an induction
programme for field epidemiologists; regular in-service programmes and continuous professional development
programmes for animal health staff; and a sustainable methodology and process to provide continuous and regular
education for field epidemiology staff from both human and animal health sectors.""",Guideline,"Bollinger R, Chang L, Jafari R, et al.",2013,checked,,All,checked,BLT_13_118737.png (https://dl.airtable.com/.attachments/dccd93feef0f5c7049a1d4e739b4364d/83cb0c79/BLT_13_118737.png)
"Hani Mahmoud, RTSL",A68_27-en.pdf (https://dl.airtable.com/.attachments/6a5ca26bf26a4c189ac61aa1ae8f5a4a/92198688/A68_27-en.pdf),Sixty-Eighth World Health Assembly: Provisional agenda item 16.1 – Global health emergency workforce.,This document by the WHO-Director General contains a conceptual plan for a workforce established to respond to acute or protracted risks and emergencies with health consequences.,Human Resources,10.3 Identify and address training needs for various professions/cadres.,Guideline,Chan M,2015,checked,,All,checked,A68_27-en.png (https://dl.airtable.com/.attachments/abab28ee83e6339fe6af1df692ada0d6/c9ada3c3/A68_27-en.png)
"Hani Mahmoud, RTSL",1-s2_0-S0140673610618545-main.pdf (https://dl.airtable.com/.attachments/2f8f0f69d77335aaf8839ea1ced433e5/738b006c/1-s2_0-S0140673610618545-main.pdf),"Health professionals for a new century: transforming education to strengthen
health systems in an interdependent world.","This article reports on the major findings of a Lancet Commission that sought to to develop a shared vision and a common strategy for holistic postsecondary education in medicine, nursing, and public health.",Human Resources,10.1 Assess and develop/document country�s current health workforce strategy.,Guideline,"Frenk J, Chen L, Bhutta ZA, et al",2010,checked,,1951,checked,1-s2_0-S0140673610618545-main.png (https://dl.airtable.com/.attachments/6371157b99867edcc067acf6983e4571/7aa3394b/1-s2_0-S0140673610618545-main.png)
